"Date","Concurrent","chaines","format","creation"
"2014-07-08 09:33:21","Elite Rencontre","","10.00","Version Nathalie"
"2014-07-08 11:23:46","Elite Rencontre","","10.00","Version Nathalie 2"
"2014-07-08 11:38:24","Elite Rencontre","","10.00","Version Nathalie"
"2014-07-08 12:27:01","Elite Rencontre","","10.00","Version Nathalie 2"
"2014-07-08 13:08:37","Elite Rencontre","Canal+","10.00","Version Nathalie"
"2014-07-08 13:34:05","Elite Rencontre","","10.00","Version Nathalie"
"2014-07-08 13:49:34","Elite Rencontre","","10.00","Version Nathalie 2"
"2014-07-08 15:16:03","Elite Rencontre","","10.00","Version Nathalie 2"
"2014-07-08 19:48:35","Elite Rencontre","Canal+","10.00","Version Nathalie 2"
"2014-07-08 20:37:19","Elite Rencontre","","10.00","Version Nathalie"
"2014-07-08 07:42:18","Meetic","D17","12.00","Version 6 longue"
"2014-07-08 07:42:30","Meetic","D17","11.00","Version classique"
"2014-07-08 07:58:17","Meetic","","21.00","Version 9"
"2014-07-08 07:58:18","Meetic","","11.00","Version 6"
"2014-07-08 07:58:29","Meetic","","11.00","Version classique"
"2014-07-08 09:04:19","Meetic","D17","11.00","Version femmes"
"2014-07-08 09:58:49","Meetic","Infosport+","11.00","Version femmes"
"2014-07-08 11:34:59","Meetic","M6","11.00","Version femmes"
"2014-07-08 11:57:22","Meetic","BFMTV","12.00","Version 6 longue"
"2014-07-08 11:57:34","Meetic","BFMTV","11.00","Version classique"
"2014-07-08 13:03:37","Meetic","D17","12.00","Version 6 longue"
"2014-07-08 13:03:49","Meetic","D17","11.00","Version classique"
"2014-07-08 13:10:00","Meetic","Teva","12.00","Version 6 longue"
"2014-07-08 13:10:12","Meetic","Teva","11.00","Version classique"
"2014-07-08 13:55:27","Meetic","BFMTV","11.00","Version femmes"
"2014-07-08 15:16:25","Meetic","TF1","12.00","Version 6"
"2014-07-08 15:16:37","Meetic","TF1","11.00","Version classique"
"2014-07-08 15:21:32","Meetic","D17","12.00","Version 6 longue"
"2014-07-08 15:21:44","Meetic","D17","11.00","Version classique"
"2014-07-08 15:42:38","Meetic","RTL9","11.00","Version femmes"
"2014-07-08 16:20:51","Meetic","BFMTV","11.00","Version femmes"
"2014-07-08 16:33:43","Meetic","D17","12.00","Version 6 longue"
"2014-07-08 16:33:54","Meetic","HD1","21.00","Version 9"
"2014-07-08 16:33:55","Meetic","D17","11.00","Version classique"
"2014-07-08 16:34:06","Meetic","HD1","11.00","Version classique"
"2014-07-08 16:39:41","Meetic","TMC","11.00","Version femmes"
"2014-07-08 16:56:24","Meetic","M6","12.00","Version 6"
"2014-07-08 16:56:36","Meetic","M6","11.00","Version classique"
"2014-07-08 17:05:08","Meetic","","11.00","Version femmes"
"2014-07-08 17:12:16","Meetic","TF1","11.00","Version femmes"
"2014-07-08 17:39:41","Meetic","D17","11.00","Version femmes"
"2014-07-08 17:44:09","Meetic","TF1","11.00","Version femmes"
"2014-07-08 17:53:09","Meetic","","11.00","Version femmes"
"2014-07-08 17:53:56","Meetic","","11.00","Version femmes"
"2014-07-08 18:10:06","Meetic","TF1","11.00","Version femmes"
"2014-07-08 18:14:43","Meetic","TMC","11.00","Version femmes"
"2014-07-08 18:27:16","Meetic","AB1","11.00","Version 9 courte"
"2014-07-08 18:27:49","Meetic","MCM","11.00","Version femmes"
"2014-07-08 18:28:21","Meetic","BFMTV","11.00","Version femmes"
"2014-07-08 18:36:10","Meetic","M6","12.00","Version 6"
"2014-07-08 18:36:22","Meetic","M6","11.00","Version classique"
"2014-07-08 18:40:43","Meetic","","11.00","Version femmes"
"2014-07-08 18:52:49","Meetic","Teva","11.00","Version femmes"
"2014-07-08 18:55:05","Meetic","","12.00","Version 6 longue"
"2014-07-08 18:55:17","Meetic","","11.00","Version classique"
"2014-07-08 19:13:53","Meetic","","11.00","Version femmes"
"2014-07-08 19:25:47","Meetic","W9","11.00","Version femmes"
"2014-07-08 19:27:08","Meetic","BFMTV","12.00","Version 6 longue"
"2014-07-08 19:27:20","Meetic","BFMTV","11.00","Version classique"
"2014-07-08 19:28:24","Meetic","NRJ12","11.00","Version femmes"
"2014-07-08 19:32:54","Meetic","NT1","12.00","Version 6"
"2014-07-08 19:33:06","Meetic","NT1","11.00","Version classique"
"2014-07-08 19:37:44","Meetic","AB1","21.00","Version 9"
"2014-07-08 19:39:48","Meetic","TF1","12.00","Version 6"
"2014-07-08 19:40:00","Meetic","TF1","11.00","Version classique"
"2014-07-08 19:41:58","Meetic","","11.00","Version femmes"
"2014-07-08 19:45:54","Meetic","D8","12.00","Version 6 longue"
"2014-07-08 19:46:06","Meetic","D8","11.00","Version classique"
"2014-07-08 20:03:39","Meetic","","11.00","Version femmes"
"2014-07-08 20:37:42","Meetic","","11.00","Version femmes"
"2014-07-08 20:43:35","Meetic","","12.00","Version 6 longue"
"2014-07-08 20:43:47","Meetic","","11.00","Version classique"
"2014-07-08 20:50:26","Meetic","NRJ12","11.00","Version femmes"
"2014-07-08 20:52:05","Meetic","TF1","12.00","Version 6 longue"
"2014-07-08 20:52:17","Meetic","TF1","11.00","Version classique"
"2014-07-08 21:09:43","Meetic","MCM","11.00","Version femmes"
"2014-07-08 21:38:21","Meetic","MCM","21.00","Version 9"
"2014-07-08 21:38:23","Meetic","MCM","10.00","Version 6"
"2014-07-08 21:38:33","Meetic","MCM","11.00","Version classique"
"2014-07-08 21:52:52","Meetic","AB1","11.00","Version 9 courte"
"2014-07-08 21:57:11","Meetic","Infosport+","12.00","Version 6 longue"
"2014-07-08 21:57:23","Meetic","Infosport+","11.00","Version classique"
"2014-07-08 22:02:19","Meetic","BFMTV","13.00","Version 6 longue"
"2014-07-08 22:02:32","Meetic","BFMTV","11.00","Version classique"
"2014-07-08 22:12:13","Meetic","NRJ12","11.00","Version femmes"
"2014-07-08 22:30:19","Meetic","MCM","11.00","Version femmes"
"2014-07-08 22:31:49","Meetic","M6","13.00","Version 6"
"2014-07-08 22:32:02","Meetic","M6","11.00","Version classique"
"2014-07-08 22:51:38","Meetic","MCM","11.00","Version femmes"
"2014-07-08 23:00:28","Meetic","Infosport+","12.00","Version 6 longue"
"2014-07-08 23:00:40","Meetic","Infosport+","11.00","Version classique"
"2014-07-08 23:13:24","Meetic","","11.00","Version femmes"
"2014-07-08 23:30:29","Meetic","W9","12.00","Version 6"
"2014-07-08 23:30:31","Meetic","6ter","10.00","Version 6"
"2014-07-08 23:30:41","Meetic","W9","11.00","Version classique"
"2014-07-08 23:58:22","Meetic","D8","12.00","Version 6 longue"
"2014-07-08 23:58:34","Meetic","D8","11.00","Version classique"